,label,a1,a2,a3,a4,b1,b2,b3,b4,c1,c2,c3,c4,d1,d2,d3,d4
0,0,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
1,0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
2,0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
3,0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
4,0,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
5,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
6,0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
7,0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
8,0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
9,0,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
10,0,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
11,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
12,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
13,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
14,0,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
15,0,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
16,0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
17,0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
18,0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
19,0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
20,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
21,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
22,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
23,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
24,0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
25,1,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
26,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
27,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
28,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
29,1,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
30,0,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
31,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
32,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
33,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
34,0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
35,0,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
36,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
37,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
38,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
39,0,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
40,0,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
41,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
42,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
43,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
44,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
45,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
46,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
47,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
48,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
49,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
50,0,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
51,1,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
52,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
53,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
54,0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
55,0,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
56,0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
57,0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
58,0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
59,1,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
60,0,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
61,0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
62,0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
63,0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
64,0,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
65,0,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
66,0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
67,0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
68,0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
69,0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
70,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
71,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
72,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
73,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
74,0,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False
75,0,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
76,0,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
77,1,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True
78,0,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
79,0,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
80,1,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
