,label,a1,a2,b1,b2,c1,d1,d2,e1,e2,e3,f1
0,1,True,False,True,False,True,True,False,False,True,False,True
1,1,True,False,True,False,True,True,False,False,True,False,False
2,0,True,False,True,False,True,True,False,False,False,True,True
3,0,True,False,True,False,True,True,False,False,False,False,True
4,1,True,False,True,False,True,False,True,True,False,False,True
5,1,True,False,True,False,True,False,True,False,True,False,False
6,0,True,False,True,False,True,False,True,False,False,False,False
7,1,True,False,True,False,False,True,False,False,True,False,False
8,0,True,False,True,False,False,True,False,False,False,False,False
9,1,True,False,True,False,False,False,True,False,True,False,False
10,0,True,False,True,False,False,False,True,False,False,False,True
11,0,True,False,True,False,False,False,True,False,False,False,False
12,1,True,False,True,False,False,False,False,True,False,False,True
13,1,True,False,True,False,False,False,False,True,False,False,False
14,1,True,False,True,False,False,False,False,False,False,True,True
15,1,True,False,True,False,False,False,False,False,False,True,False
16,1,True,False,False,True,True,True,False,False,False,True,True
17,1,True,False,False,True,True,False,True,False,True,False,True
18,1,True,False,False,True,True,False,True,False,True,False,False
19,0,True,False,False,True,True,False,True,False,False,True,True
20,1,True,False,False,True,True,False,False,True,False,False,True
21,1,True,False,False,True,True,False,False,True,False,False,False
22,1,True,False,False,True,True,False,False,False,True,False,True
23,1,True,False,False,True,True,False,False,False,True,False,False
24,1,True,False,False,True,True,False,False,False,False,True,False
25,0,True,False,False,True,True,False,False,False,False,False,True
26,1,True,False,False,True,False,True,False,False,False,True,True
27,0,True,False,False,True,False,True,False,False,False,False,False
28,1,True,False,False,True,False,False,True,True,False,False,True
29,1,True,False,False,True,False,False,True,False,True,False,True
30,1,True,False,False,True,False,False,True,False,True,False,False
31,1,True,False,False,True,False,False,False,True,False,False,True
32,1,True,False,False,True,False,False,False,False,True,False,True
33,1,True,False,False,True,False,False,False,False,True,False,False
34,0,True,False,False,False,True,True,False,False,True,False,True
35,0,True,False,False,False,True,True,False,False,False,False,True
36,0,True,False,False,False,True,False,True,False,False,True,False
37,0,True,False,False,False,True,False,True,False,False,False,True
38,0,True,False,False,False,True,False,False,True,False,False,True
39,0,True,False,False,False,True,False,False,False,False,True,True
40,0,True,False,False,False,False,True,False,True,False,False,True
41,0,True,False,False,False,False,True,False,True,False,False,False
42,0,True,False,False,False,False,True,False,False,True,False,True
43,0,True,False,False,False,False,True,False,False,False,False,False
